id,name,type,lat,lon,address,suburb,cnes,network,surface_temp_300m,ndvi_300m,climate_data_coverage_pct,census_population_300m,census_income_median_300m,census_share_children_300m,census_share_elderly_300m,census_crowding_300m,vulnerability_score_300m,social_data_coverage_pct,vulnerability_data_quality,flood_zone_level,flood_zone_process,flood_zone_distance_m,flood_zone_in_buffer,flood_point_nearest_m,flood_point_nearest_name,flood_point_nearest_phenomenon,climate_data_quality,heat_component,vegetation_component,social_component,heat_component_0_100,vegetation_component_0_100,social_component_0_100,iecs_score,risk_level,ranking,vulnerability_source
SUS-034,Posto de Saúde Municipal,Posto / Centro de Saúde Público,-21.7251916,-48.1583089,,Araraquara,,Rede Pública SUS / Filantrópico,36.43980832455603,0.25300958377219857,100.0,2136.1713617999467,1392.3950574705343,0.20012292632727927,0.06223166192696024,,3.67,100.0,censo_2022,Baixa,Inundação,768.4,,2913.5,Rua Maurício Galli,Inundação / Assoreamento,urbverde_2024,0.9585777265926091,0.9535812160386843,1.0,95.9,95.4,100.0,97.0,Crítico (Altíssimo Risco),1,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-015,UPA Valle Verde,UPA / Pronto Atendimento,-21.7246497,-48.1579375,Rua Henrique João Baptista Crisci,Valle Verde,,Rede Pública SUS / Filantrópico,36.46376303460322,0.25180315973062045,100.0,2272.0167597729,1401.753838734332,0.19946057566285444,0.05994640960517639,,3.66,100.0,censo_2022,Baixa,Inundação,712.7,,2979.0,Rua Maurício Galli,Inundação / Assoreamento,urbverde_2024,0.9627989142022093,0.9583458938979935,0.9848484848484852,96.3,95.8,98.5,96.8,Crítico (Altíssimo Risco),2,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-023,PSF,USF (Saúde da Família),-21.7251579,-48.1585244,,Araraquara,,Rede Pública SUS / Filantrópico,36.42394515273796,0.2538027423631021,100.0,2103.810191606931,1399.5353138113005,0.20067408645123472,0.062412716979365644,,3.67,100.0,censo_2022,Baixa,Inundação,762.3,,2913.8,Rua Maurício Galli,Inundação / Assoreamento,urbverde_2024,0.9557823922222276,0.9504486979134192,1.0,95.6,95.0,100.0,96.8,Crítico (Altíssimo Risco),3,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-045,CMS Jardim Roberto Selmi Dei I — Dr. Ruy de Toledo,UBS / CMS (Unidade Básica),-21.739931,-48.151231,,Jardim Roberto Selmi Dei I,,,36.52426561643895,0.24912209849818684,100.0,979.8936171134774,1576.1960102590538,0.09812044323042315,0.2734979874268414,,3.61,100.0,censo_2022,Baixa,Inundação,69.0,Baixa,1720.0,Rua Maurício Galli,Inundação / Assoreamento,urbverde_2024,0.9734603978223726,0.9689345365753382,0.9090909090909091,97.3,96.9,90.9,95.3,Crítico (Altíssimo Risco),4,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-016,Unidade Básica de Saúde Doutor Herculano Graeff,UBS / CMS (Unidade Básica),-21.727972,-48.1475016,Avenida Olímpio Bolzan,Jardim Roberto Selmi Dei IV,,Rede Pública SUS / Filantrópico,36.614445374050185,0.24927773129749073,100.0,697.4044258101206,1937.2900990385408,0.09863448629794265,0.21509753938083323,,3.46,100.0,censo_2022,Baixa,Inundação,161.8,Baixa,2908.6,Av. Manoel de Abreu — Jardim Zavanella,Alagamento,urbverde_2024,0.9893514553519965,0.968319876946991,0.681818181818182,98.9,96.8,68.2,89.2,Crítico (Altíssimo Risco),5,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-037,USF Roxo,USF (Saúde da Família),-21.7362868,-48.1563495,,Araraquara,,Rede Pública SUS / Filantrópico,36.67487452884238,0.24125627355788098,100.0,1879.1802758297895,2317.537561807261,0.1486422676357068,0.09789263811319876,,3.4,100.0,censo_2022,Baixa,Inundação,251.4,Baixa,1774.5,Rua Maurício Galli,Inundação / Assoreamento,urbverde_2024,1.0,1.0,0.5909090909090909,100.0,100.0,59.1,87.7,Crítico (Altíssimo Risco),6,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-018,CMS Jardim Paulistano “Dr. Genaro Granata”,UBS / CMS (Unidade Básica),-21.7739773,-48.1611068,Avenida Jorge Haddad,Jd. Paulistano,,Rede Pública SUS / Filantrópico,35.6,0.29,100.0,1392.0997441162795,2369.9166268387617,0.08081418688396617,0.31087728440010387,,3.5,100.0,censo_2022,Baixa,Inundação,1236.0,,1102.4,Rua Napoleão Selmi Dei / Rua Henrique Lupo — Vila Harmonia,Inundação,urbverde_2024,0.8105906089413323,0.8074904460166529,0.7424242424242425,81.1,80.7,74.2,78.9,Crítico (Altíssimo Risco),7,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-039,USF Vila Biagioni,USF (Saúde da Família),-21.7713831,-48.1411343,,Araraquara,,Rede Pública SUS / Filantrópico,35.27583409435099,0.3062082952824506,100.0,1710.760652039017,1892.1755265619934,0.10121656299499074,0.22655848282864485,,3.5,100.0,censo_2022,Baixa,Inundação,988.5,,274.3,Av. Francisco Vaz Filho — Jardim América,Alagamento,urbverde_2024,0.7534676004939301,0.7434770452488615,0.7424242424242425,75.3,74.3,74.2,74.8,Alto,8,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-024,"Centro Municipal de Saúde ""João Vitor Nascimento Maurício""",UBS / CMS (Unidade Básica),-21.7832439,-48.1637525,,Araraquara,,Rede Pública SUS / Filantrópico,35.3,0.31,100.0,1035.9439165867027,2311.9815289460134,0.06471996207883596,0.33835986417712083,,3.5,100.0,censo_2022,Baixa,Inundação,803.6,,1585.4,Rua Napoleão Selmi Dei / Rua Henrique Lupo — Vila Harmonia,Inundação,urbverde_2024,0.7577260040103752,0.7285020025655993,0.7424242424242425,75.8,72.9,74.2,74.6,Alto,9,IBGE Censo 2022 — índice social-sanitário composto do projeto
SUS-040,USF Brasília Prof. Dr. Edmundo Juarez,USF (Saúde da Família),-21.7683425,-48.1582983,,Araraquara,,Rede Pública SUS / Filantrópico,35.772823332412344,0.28135883337938283,100.0,1121.310501211393,2723.9149148490583,0.08110672451804317,0.2494801652130851,,3.34,100.0,censo_2022,Baixa,Inundação,919.5,,1358.7,Rua Napoleão Selmi Dei / Rua Henrique Lupo — Vila Harmonia,Inundação,urbverde_2024,0.8410447329107651,0.8416180610648404,0.5,84.1,84.2,50.0,73.9,Alto,10,IBGE Censo 2022 — índice social-sanitário composto do projeto
